Microsoft (R) COFF/PE Dumper Version 14.30.30706.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file ADVAPI32.DLL

File Type: DLL

  Section contains the following exports for ADVAPI32.dll

    00000000 characteristics
    2C4450ED time date stamp Wed Jul 14 14:31:09 1993
        0.00 version
           1 ordinal base
         279 number of functions
         279 number of names

    ordinal hint RVA      name

          1    0 00006EC0 AbortSystemShutdownA
          2    1 00006E20 AbortSystemShutdownW
          3    2 00001A70 AccessCheck
          4    3 00001D50 AccessCheckAndAuditAlarmA
          5    4 00001C80 AccessCheckAndAuditAlarmW
          6    5 00002610 AddAccessAllowedAce
          7    6 00002640 AddAccessDeniedAce
          8    7 00002570 AddAce
          9    8 00002670 AddAuditAccessAce
         10    9 00001C00 AdjustTokenGroups
         11    A 00001BC0 AdjustTokenPrivileges
         12    B 00002380 AllocateAndInitializeSid
         13    C 00001A40 AllocateLocallyUniqueId
         14    D 00002460 AreAllAccessesGranted
         15    E 00002480 AreAnyAccessesGranted
         16    F 00001630 BackupEventLogA
         17   10 00001260 BackupEventLogW
         18   11 0000B580 ChangeServiceConfigA
         19   12 0000B740 ChangeServiceConfigW
         20   13 000015C0 ClearEventLogA
         21   14 000011E0 ClearEventLogW
         22   15 00001120 CloseEventLog
         23   16 0000AB50 CloseServiceHandle
         24   17 0000A8F0 ControlService
         25   18 00002430 CopySid
         26   19 00002960 CreatePrivateObjectSecurity
         27   1A 0000B860 CreateServiceA
         28   1B 0000BA50 CreateServiceW
         29   1C 000025B0 DeleteAce
         30   1D 0000BB80 DeleteService
         31   1E 00001150 DeregisterEventSource
         32   1F 00002A20 DestroyPrivateObjectSecurity
         33   20 000019B0 DuplicateToken
         34   21 0000D400 ElfBackupEventLogFileA
         35   22 0000CDA0 ElfBackupEventLogFileW
         36   23 0000CA00 ElfChangeNotify
         37   24 0000D370 ElfClearEventLogFileA
         38   25 0000CD10 ElfClearEventLogFileW
         39   26 0000CE30 ElfCloseEventLog
         40   27 0000CEC0 ElfDeregisterEventSource
         41   28 0000C8C0 ElfNumberOfRecords
         42   29 0000C960 ElfOldestRecord
         43   2A 0000D2B0 ElfOpenBackupEventLogA
         44   2B 0000CC50 ElfOpenBackupEventLogW
         45   2C 0000D110 ElfOpenEventLogA
         46   2D 0000CAB0 ElfOpenEventLogW
         47   2E 0000D490 ElfReadEventLogA
         48   2F 0000CF50 ElfReadEventLogW
         49   30 0000D1E0 ElfRegisterEventSourceA
         50   31 0000CB80 ElfRegisterEventSourceW
         51   32 0000D570 ElfReportEventA
         52   33 0000D030 ElfReportEventW
         53   34 0000BC20 EnumDependentServicesA
         54   35 0000BD10 EnumDependentServicesW
         55   36 0000B260 EnumServicesStatusA
         56   37 0000A9A0 EnumServicesStatusW
         57   38 00002310 EqualPrefixSid
         58   39 000022F0 EqualSid
         59   3A 000026B0 FindFirstFreeAce
         60   3B 00002370 FreeSid
         61   3C 000025E0 GetAce
         62   3D 00002510 GetAclInformation
         63   3E 00002E00 GetFileSecurityA
         64   3F 00002CE0 GetFileSecurityW
         65   40 00002EA0 GetKernelObjectSecurity
         66   41 00002420 GetLengthSid
