Microsoft (R) COFF/PE Dumper Version 14.30.30706.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file GDI32.DLL

File Type: DLL

  Section contains the following exports for GDI32.dll

    00000000 characteristics
    2C51B579 time date stamp Sat Jul 24 18:19:37 1993
        0.00 version
           1 ordinal base
         337 number of functions
         337 number of names

    ordinal hint RVA      name

          1    0 0002D8E6 AbortDoc
          2    1 0002E436 AbortPath
          3    2 00012AA6 AddFontResourceA
          4    3 0001C436 AddFontResourceW
          5    4 0002AA96 AngleArc
          6    5 0002E2B6 AnimatePalette
          7    6 0002ACE6 Arc
          8    7 0002AF96 ArcTo
          9    8 0002E586 BeginPath
         10    9 00006326 BitBlt
         11    A 0001A066 CancelDC
         12    B 0002B206 Chord
         13    C 0001D8C6 CloseEnhMetaFile
         14    D 0002E826 CloseFigure
         15    E 00028866 CloseMetaFile
         16    F 0000ADA6 CombineRgn
         17   10 0002A356 CombineTransform
         18   11 0001DAD6 CopyEnhMetaFileA
         19   12 0001DB66 CopyEnhMetaFileW
         20   13 00028A46 CopyMetaFileA
         21   14 00028AD6 CopyMetaFileW
         22   15 0000E346 CreateBitmap
         23   16 00012BB6 CreateBitmapIndirect
         24   17 0000A986 CreateBrushIndirect
         25   18 00008516 CreateCompatibleBitmap
         26   19 00005F56 CreateCompatibleDC
         27   1A 000129E6 CreateDCA
         28   1B 00029376 CreateDCW
         29   1C 00029516 CreateDIBPatternBrush
         30   1D 00029566 CreateDIBPatternBrushPt
         31   1E 0000D8F6 CreateDIBitmap
         32   1F 0000F166 CreateDiscardableBitmap
         33   20 000298B6 CreateEllipticRgn
         34   21 000299A6 CreateEllipticRgnIndirect
         35   22 0001D496 CreateEnhMetaFileA
         36   23 0001D576 CreateEnhMetaFileW
         37   24 000118B6 CreateFontA
         38   25 00009E86 CreateFontIndirectA
         39   26 00011676 CreateFontIndirectW
         40   27 00029C06 CreateFontW
         41   28 00029AC6 CreateHalftonePalette
         42   29 000294F6 CreateHatchBrush
         43   2A 000110F6 CreateICA
         44   2B 00029356 CreateICW
         45   2C 00028656 CreateMetaFileA
         46   2D 000286D6 CreateMetaFileW
         47   2E 00017CE6 CreatePalette
         48   2F 0000EE56 CreatePatternBrush
         49   30 0000B156 CreatePen
         50   31 00017936 CreatePenIndirect
         51   32 0002FCA6 CreatePolyPolygonRgn
         52   33 0002FC16 CreatePolygonRgn
         53   34 0000E876 CreateRectRgn
         54   35 00013936 CreateRectRgnIndirect
         55   36 000299C6 CreateRoundRectRgn
         56   37 0001C656 CreateScalableFontResourceA
         57   38 0001C736 CreateScalableFontResourceW
         58   39 000084F6 CreateSolidBrush
         59   3A 0000AA96 DPtoLP
         60   3B 00005F46 DeleteDC
         61   3C 0001DC66 DeleteEnhMetaFile
         62   3D 00017566 DeleteMetaFile
         63   3E 00006EE6 DeleteObject
         64   3F 0002E296 DeviceCapabilitiesExA
         65   40 00014F66 DeviceCapabilitiesExW
         66   41 0002E046 DrawEscape
         67   42 0002B4B6 Ellipse
         68   43 00013116 EndDoc
         69   44 00012FD6 EndPage
         70   45 0002E986 EndPath
         71   46 0001DD86 EnumEnhMetaFile
