Microsoft (R) COFF/PE Dumper Version 14.30.30706.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file RPCRT4.DLL

File Type: DLL

  Section contains the following exports for RPCRT4.dll

    00000000 characteristics
    2C7AC161 time date stamp Tue Aug 24 21:33:21 1993
        0.00 version
           1 ordinal base
         139 number of functions
         139 number of names

    ordinal hint RVA      name

          1    0 00008A46 I_RpcAllocate
          2    1 0000B8F6 I_RpcBindingCopy
          3    2 00015496 I_RpcBindingInqDynamicEndpoint
          4    3 00015606 I_RpcBindingIsClientLocal
          5    4 00009D36 I_RpcClearMutex
          6    5 0000EA96 I_RpcDeleteMutex
          7    6 00007B06 I_RpcFree
          8    7 00006F76 I_RpcFreeBuffer
          9    8 00009716 I_RpcGetAssociationContext
         10    9 00006D56 I_RpcGetBuffer
         11    A 0000E686 I_RpcGetCurrentCallHandle
         12    B 00014EC6 I_RpcIfInqTransferSyntaxes
         13    C 000112C6 I_RpcMapWin32Status
         14    D 0000E6D6 I_RpcMonitorAssociation
         15    E 00014816 I_RpcNsBindingSetEntryName
         16    F 0000B1E6 I_RpcParseSecurity
         17   10 00014556 I_RpcPauseExecution
         18   11 00009946 I_RpcRequestMutex
         19   12 00006F96 I_RpcSendReceive
         20   13 00011D86 I_RpcSetAssociationContext
         21   14 00001A40 I_RpcSsDontSerializeContext
         22   15 00011DB6 I_RpcStopMonitorAssociation
         23   16 00014576 I_RpcTimeCharge
         24   17 00014586 I_RpcTimeGet
         25   18 00014566 I_RpcTimeReset
         26   19 00016F16 I_RpcTransClientMaxFrag
         27   1A 0000EE36 I_RpcTransClientReallocBuffer
         28   1B 00016E86 I_RpcTransServerFindConnection
         29   1C 00016EC6 I_RpcTransServerFreeBuffer
         30   1D 00016EB6 I_RpcTransServerMaxFrag
         31   1E 0000FE36 I_RpcTransServerNewConnection
         32   1F 0000E836 I_RpcTransServerProtectThread
         33   20 0000E1F6 I_RpcTransServerReallocBuffer
         34   21 00016EF6 I_RpcTransServerReceiveDirectReady
         35   22 0000FE96 I_RpcTransServerUnprotectThread
         36   23 00016F76 I_Trace
         37   24 0000E316 I_UuidCreate
         38   25 00001B40 MIDL_wchar_strcpy
         39   26 00001B20 MIDL_wchar_strlen
         40   27 00001C40 NDRCContextBinding
         41   28 00001CE0 NDRCContextMarshall
         42   29 00001DB0 NDRCContextUnmarshall
         43   2A 00001990 NDRSContextMarshall
         44   2B 00001790 NDRSContextUnmarshall
         45   2C 00001EB0 NDRcopy
         46   2D 00014596 RpcBindingCopy
         47   2E 00007486 RpcBindingFree
         48   2F 00015F76 RpcBindingFromStringBindingA
         49   30 00007A96 RpcBindingFromStringBindingW
         50   31 000168A6 RpcBindingInqAuthClientA
         51   32 00015526 RpcBindingInqAuthClientW
         52   33 00016926 RpcBindingInqAuthInfoA
         53   34 00014886 RpcBindingInqAuthInfoW
         54   35 00014AD6 RpcBindingInqObject
         55   36 00014606 RpcBindingReset
         56   37 000169A6 RpcBindingSetAuthInfoA
         57   38 00014966 RpcBindingSetAuthInfoW
         58   39 00014666 RpcBindingSetObject
         59   3A 00016086 RpcBindingToStringBindingA
