Microsoft (R) COFF/PE Dumper Version 14.30.30706.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file USER32.DLL

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    2C90DD33 time date stamp Fri Sep 10 16:01:55 1993
        0.00 version
           1 ordinal base
         582 number of functions
         582 number of names

    ordinal hint RVA      name

          1    0 00014E76 AbortProcYield
          2    1 00024446 ActivateKeyboardLayout
          3    2 0000ACB6 AdjustWindowRect
          4    3 0000A8D6 AdjustWindowRectEx
          5    4 0002F376 AnyPopup
          6    5 0000DE76 AppendMenuA
          7    6 000248D6 AppendMenuW
          8    7 00021856 ArrangeIconicWindows
          9    8 00021CA6 AttachThreadInput
         10    9 0000BD06 BeginDeferWindowPos
         11    A 00006196 BeginPaint
         12    B 00011C26 BringWindowToTop
         13    C 00021056 CalcChildScroll
         14    D 0001A886 CallMsgFilter
         15    E 0001A886 CallMsgFilterA
         16    F 0001A816 CallMsgFilterW
         17   10 00011896 CallNextHookEx
         18   11 0000BDA6 CallWindowProcA
         19   12 00012D66 CallWindowProcW
         20   13 000218A6 CascadeChildWindows
         21   14 000218F6 ChangeClipboardChain
         22   15 00008986 ChangeMenuA
         23   16 0001DCF6 ChangeMenuW
         24   17 0000CB56 CharLowerA
         25   18 0000C7E6 CharLowerBuffA
         26   19 0000C8D6 CharLowerBuffW
         27   1A 0000BB96 CharLowerW
         28   1B 0000B9E6 CharNextA
         29   1C 00013056 CharNextW
         30   1D 0000BC76 CharPrevA
         31   1E 0002F516 CharPrevW
         32   1F 000085E6 CharToOemA
         33   20 0002D1A6 CharToOemBuffA
         34   21 0002D2F6 CharToOemBuffW
         35   22 0002D2A6 CharToOemW
         36   23 00010FD6 CharUpperA
         37   24 0000E136 CharUpperBuffA
         38   25 0000DC16 CharUpperBuffW
         39   26 0000E5C6 CharUpperW
         40   27 00021946 CheckDlgButton
         41   28 00010876 CheckMenuItem
         42   29 000219A6 CheckRadioButton
         43   2A 00021A16 ChildWindowFromPoint
         44   2B 000107D6 ClientThreadConnect
         45   2C 000087B6 ClientToScreen
         46   2D 00021A76 ClipCursor
         47   2E 0000F916 CloseClipboard
         48   2F 00021AE6 CloseDesktop
         49   30 00021B36 CloseWindow
         50   31 00025E36 CopyAcceleratorTableA
         51   32 000249A6 CopyAcceleratorTableW
         52   33 0001CCB6 CopyIcon
         53   34 00005DC6 CopyRect
         54   35 00021B86 CountClipboardFormats
         55   36 00018986 CreateAcceleratorTableA
         56   37 0001E746 CreateAcceleratorTableW
         57   38 0000EE86 CreateCaret
         58   39 000210A6 CreateCursor
         59   3A 000243A6 CreateDesktopA
         60   3B 0001E926 CreateDialogIndirectParamA
         61   3C 0001E956 CreateDialogIndirectParamW
         62   3D 0001B896 CreateDialogParamA
         63   3E 00014A36 CreateDialogParamW
         64   3F 00018636 CreateIcon
         65   40 00015EE6 CreateIconFromResource
         66   41 00020D56 CreateIconIndirect
         67   42 00025F36 CreateMDIWindowA
         68   43 00024A66 CreateMDIWindowW
         69   44 00013D46 CreateMenu
         70   45 00021BC6 CreatePopupMenu
         71   46 0000F436 CreateWindowExA
